service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,info
508000,1,1,1,1,1,1,1,20260901,20270801,""
493159,1,1,1,1,1,1,1,20260501,20260831,""
465819,0,0,0,0,1,1,0,20250901,20270801,""
465824,0,0,0,0,1,1,0,20250901,20270801,""
496593,0,0,0,0,1,1,0,20260605,20270801,""
466527,0,0,0,0,1,1,0,20250901,20270801,""
507997,0,0,0,0,1,1,0,20260901,20270801,""
496358,0,0,0,0,1,1,0,20260603,20260831,""
503709,0,0,0,0,1,1,0,20260731,20270801,""
496359,0,0,0,0,1,1,0,20260603,20270801,""
501742,0,0,0,0,1,1,0,20260714,20270801,""
488816,1,1,1,1,0,0,1,20260323,20270801,""
477032,0,0,0,0,1,1,0,20251205,20270801,""
507434,1,1,1,1,1,0,0,20260901,20270801,""
507435,0,0,0,0,0,1,1,20260901,20270801,""
498794,1,1,1,1,1,0,0,20260620,20260831,""
498795,0,0,0,0,0,1,1,20260620,20260831,""
505776,1,1,1,1,1,0,0,20260817,20270801,""
505777,0,0,0,0,0,1,1,20260817,20270801,""
501751,1,1,1,1,1,0,0,20260714,20260831,""
501752,1,1,1,1,1,0,0,20260714,20260831,""
498986,0,0,0,0,0,1,1,20260620,20260831,""
507797,0,0,0,0,0,1,1,20260901,20270801,"1 var."
507796,1,1,1,1,1,0,0,20260901,20270801,"2 var."
507800,1,1,1,1,1,0,0,20260901,20270801,"2 var."
499073,1,1,1,1,1,0,0,20260620,20260831,""
499074,0,0,0,0,0,1,0,20260620,20260831,""
499075,0,0,0,0,0,0,1,20260620,20260831,""
507884,1,1,1,1,1,0,0,20260901,20270801,"1 var."
507885,0,0,0,0,0,1,0,20260901,20270801,"1 var."
507886,0,0,0,0,0,0,1,20260901,20270801,"1 var."
498987,1,1,1,1,1,0,0,20260620,20260831,""
498988,0,0,0,0,0,1,1,20260620,20260831,""
507798,1,1,1,1,1,0,0,20260901,20270801,"1 var."
507799,0,0,0,0,0,1,1,20260901,20270801,"1 var."
499076,1,1,1,1,1,0,0,20260620,20260831,""
499077,0,0,0,0,0,1,1,20260620,20260831,""
507888,0,0,0,0,0,1,1,20260901,20270801,"1 var."
507887,1,1,1,1,1,0,0,20260901,20270801,"2 var."
504177,1,1,1,1,1,0,0,20260803,20260831,""
504178,0,0,0,0,0,1,1,20260803,20260831,""
507790,1,1,1,1,1,0,0,20260901,20270801,"1 var."
507791,0,0,0,0,0,1,1,20260901,20270801,"2 var."
498990,0,0,0,0,0,1,1,20260620,20260831,""
507801,0,0,0,0,0,1,1,20260901,20270801,"1 var."
507432,1,1,1,1,1,0,0,20260901,20270801,""
507433,0,0,0,0,0,1,1,20260901,20270801,""
498792,1,1,1,1,1,0,0,20260620,20260831,""
498793,0,0,0,0,0,1,1,20260620,20260831,""
498991,1,1,1,1,1,0,0,20260620,20260831,""
498992,0,0,0,0,0,1,1,20260620,20260831,""
507803,0,0,0,0,0,1,1,20260901,20270801,"1 var."
507802,1,1,1,1,1,0,0,20260901,20270801,"2 var."
500919,1,1,1,1,1,0,0,20260707,20260831,""
500920,0,0,0,0,0,1,1,20260707,20260831,""
507792,1,1,1,1,1,0,0,20260901,20270801,""
507793,0,0,0,0,0,1,1,20260901,20270801,""
507794,1,1,1,1,1,0,0,20260901,20270801,""
507795,0,0,0,0,0,1,1,20260901,20270801,""
499082,1,1,1,1,1,0,0,20260620,20260831,""
499083,0,0,0,0,0,1,1,20260620,20260831,""
500939,1,1,1,1,1,0,0,20260707,20260831,""
500940,0,0,0,0,0,1,1,20260707,20260831,""
507436,1,1,1,1,1,0,0,20260901,20270801,""
507437,0,0,0,0,0,1,1,20260901,20270801,""
498993,1,1,1,1,1,0,0,20260620,20260831,""
